Property	Atomic Number	Symbol	Name	Atomic Weight	Oxidation States, Most Stable	Oxidation States	Density	Electron Configuration	Melting Point	Melting Point Pressure	Boiling Point	Electronegativity	Heat of Vaporization	Heat of Fusion	Electrical Conductivity	Thermal Conductivity	Specific Heat Capacity	First Ionization Potential	Atomic Volume	Atomic Radius	Covalent Radius	Crystal Structure 	Acid-Base Properties	Year when discovered	Color	Color RGB-number	Solubility in Cold water	Solubility in Hot Water	Magnetic Susceptibility	Atomic Electron Affinity	Ionic Radii in Crystals (Oxidation state)	Ionic Radii in Crystals (Oxidation state)	Ionic Radii in Crystals (Oxidation state)	Ionic Radii in Crystals (Oxidation state)	Ionic Radii in Crystals (Oxidation state)	Ionic Radii in Crystals (Oxidation state)	Ionic Radii in Crystals (Oxidation state)	Lattice parameter a	Lattice parameter b	Lattice parameter c	Content in the Earth's Crust	Content in the Sea	Content in the Air	Polarizability	Enthalpy of Formation at 298.15 K Gas	Enthalpy of Formation at 298.15 K Solid	Gibbs Energy of Formation  298.15 K Gas	Gibbs Energy of Formation  298.15 K Solid	Standard Entropy 298.15 K Gas	Standard Entropy 298.15 K Solid	Heat Capacity 298.15 K Gas	Heat Capacity 298.15 K Solid	Linear Expansion 298.15 K	Half-Life of the most stabile nuclide	Isotopes, Atomic number, Relative atomic weight, Half life						Recyclability (UNEP)
In	49	In	Indium	114.818	3	3	7.31	(Kr)4d105s2p1	429.76	1	2346	1.78	231.5	3.263	0.116	0.816	0.23	5.786	15.7	2	1.44	tetragonal	amphoteric	-	silver-white 	16777215	insoluble	insoluble	-64	0.3	(+3); 4; 0.62	(+3); 6; 0.80						0.3253	-	0.4947	0.25	0.02		10.2	cry 0, gas 243.3		gas 208.7		cry 57.8, gas 173.8		cry 26.7, gas 20.8		32.1								1
Sn	50	Sn	Tin	118.71	4	4,2	7.3	(Kr)4d105s2p2	505.06	1	2876	1.96	295.8	7.029	0.0917	0.666	0.227	7.344	16.3	1.72	1.41	tetragonal	amphoteric	-	gray or white	16777215	insoluble	insoluble	(white) 3.1, (gray) -37.0(280), (gray) -31.7(100), (l) -4.5	1.112								a 0.64892, b 0.58318, c 0.370	-	a -, b 0.31818, c 0.337	2.3	0.000004		7.7	cry white 0,cry gray -2.1, gas 301.2		cry gray 0.1, gas 266.2		cry white 51.2,cry gray 44.1, gas 168.5		cry white 27.0,cry gray 25.8, gas 21.3		22								50
Sb	51	Sb	Antimony	121.76	-3	+/- 3,5	6.68	(Kr)4d105s2p3	904	1	1860	2.05	77.14	19.87	0.0288	0.243	0.21	8.641	18.23	1.53	1.4	rhombohedral	acidic	1700	silver white	16777215	insoluble	insoluble	(s) -99.0(293), (l) -2.5(293)	1.07	(+3); 6; 0.76	(+5); 6; 0.60						a 0.45067, b 0.2992, c 0.3376, d 0.556	a -, b -, c -, d 0.404	a -, b -, c 0.5341, d 0.422	0.2	0.00024		6.6	cry 0, gas 262.3		gas 222.1		cry 45.7, gas 180.3		cry 25.2, gas 20.8		11								5
Te	52	Te	Tellurium	127.6	-2	-2,4,6	6.24	(Kr)4d105s2p4	722.65	1	1261	2.1	52.55	17.49	0.000002	0.0235	0.2	9.009	20.5	1.42	1.36	hexagonal	acidic	1782	silver white	16777215	insoluble	insoluble	(s) -39.5, (l) -6.4	1.9708	(-2); 6; 1.07	(+4); 6; 0.97	(+6); 6; 0.56					a 0.44566, b 0.469, c 0.3002	-	a 0.59264, b -, c -	0.001	0		5.5	cry 0, gas 196.7		gas 157.1		cry 49.7, gas 182.7		cry 25.7, gas 20.8										1
I	53	I	Iodine	126.90447	-1	+/- 1,5,7	4.92	(Kr)4d105s2p5	386.7	1	458.4	2.66	20.752	7.824	8E-16	0.00449	0.214	10.451	25.74	1.32	1.33	orthorhombic	acidic	1811	violet black	16711808	0.029(20), 0.030(25)	0.078(50)	(s) -88.7, (atomic) 869.0(1303), (atomic) 1120.0(1400)	3.059038	(-1); 6; 2.20	(+5); 3pyramidal; 0.44	(+7); 4; 0.42	(+7); 6; 0.53				0.72697	0.47903	0.97942	0.45	0.06		5.35, 4.7	106.8		70.2		180.8		20.8										0
Xe	54	Xe	Xenon	131.29	-	-	5.89	(Kr)4d105s2p6	161.36	1	165.03	-	12.636	2.297	-	0.0000569	0.158	12.13	37.3	1.24	1.31	cubic, face centered		1898	colorless	16777215	24.1(0), 8.4(50), 11.9(25) cm3	-	-43.9	not stable								0.635	-	-	0.00003	0.00005	0.000009	4.044	0				169.7		20.8										0
Cs	55	Cs	Cesium	132.90545	1	1	1.87	(Xe)6s1	301.55	1	944	0.79	67.74	2.092	0.0489	0.359	0.24	3.894	71.07	3.34	2.35	cubic, body centered	0	1860	silver	16777215	decomposes 	-	(s) 29.0, (l) 26.5	0.471626	(+1); 8; 1.74	(+1); 12; 1.88						a 0.6141, b 0.6465, b' 0.5800,  c -	-	-	3	0.0003		59.6	cry 0, gas 76.5		gas 49.6		cry 85.2, gas 175.6		cry 32.2, gas 20.8										0
Ba	56	Ba	Barium	137.327	2	2	3.5	(Xe)6s2	1002	1	2171	0.89	142	7.75	0.03	0.184	0.204	5.212	39.24	2.78	1.98	cubic, body centered	basic	1808	yellow-silver	8454143	decomposes evolves H2	decomposes 	20.6	0.15	(+2); 8; 1.42	(+2); 12; 1.61						a 0.50227, b 0.3901, c -	-	a -, b 0.6154, c -	425	0.013		39.7	cry 0, gas 180.0		gas 146.0		cry 62.8, gas 170.2		cry 28.1, gas 20.8		20.6								1
La	57	La	Lanthanum	138.9055	3	3	6.7	(Xe)5d16s2	1193	1	3730	1.1	414	6.2	0.0126	0.135	0.19	5.58	20.73	2.74	1.69	hexagonal	basic	1839	gray 	16777215	decomposes 	decomposes 	95.9(298)	0.5	(+3); 8; 1.16							a 0.37740, b 0.5303, b' 0.426,  c 0.517	-	a 1.2171, b -, b' -,  c -	39	0.0000034		31.1	cry 0, gas 431.0		gas 393.6		cry 56.9, gas 182.4		cry 27.1, gas 22.8		12.1								1
Ce	58	Ce	Cerium	140.116	3	3,4	6.78	(Xe)4f15d16s2	1071	1	3699	1.12	414	5.46	0.0115	0.114	0.19	5.54	20.67	2.7	1.65	cubic, face centered	basic	1803	gray	16777215	slighty decomposes	decomposes 	645(2), 2500(298), 2270(298)		(+3); 8; 1.14	(+4); 6; 0.87	(+4); 8; 0.97					a 0.485, b 0.36810, c 0.51610, d 0.412, a' 0.3049	a -, b -, c -, d -, a' 0.5998	a -, b 1.1857, c -, d -, a' 0.5215	66.5	0.0000012		29.6	cry 0, gas 423.0		gas 385.0		cry 72.0, gas 191.8		cry 26.9, gas 23.1		5.2								1
Pr	59	Pr	Praseodymium	140.90765	3	3,4	6.77	(Xe)4f36s2	1204	1	3785	1.13	296.8	6.89	0.0148	0.125	0.19	5.46	20.8	2.67	1.65	hexagonal	basic	1885	gray	16777215	decomposes 	-	5530(298)		(+3); 8; 1.13							a 0.36721, b 0.413, c 0.488	-	a 1.18326, b -, c -	9.2	0.00000064		28.2	cry 0, gas 355.6		gas 320.9		cry 73.2, gas 189.8		cry 27.2, gas 21.4		6.7								1
Nd	60	Nd	Neodymium	144.24	3	3	7	(Xe)4f46s2	1289	1	3341	1.14	273	7.14	0.0157	0.165	0.19	5.53	20.6	2.64	1.64	hexagonal	basic	1841	gray	16777215	decomposes 	-	5930(298)									a 0.36582, b 0.413, c 0.480	-	a 1.17966, b -, c -	41.5	0.0000028		31.4	cry 0, gas 327.6		gas 292.4		cry 71.5, gas 189.4		cry 27.5, gas 22.1		9.6								1
Pm	61	Pm	Promethium	145	3	3	6.475	(Xe)4f56s2	1204	1	3785	1.13	-	-	-	0.179	-	5.554	22.39	2.62	1.63	hexagonal	basic	1902	brown,gray	16512	-	-			(+3); 8; 1.09							a 0.365, b ?	-	a 1.165, b -	0	0		30.1	cry 0, gas 0				gas 187.1		gas 24.3		11	17.7 a	145, 144.9127, 17.7 a	147, 146.9151, 2.623 a					0
Sm	62	Sm	Samarium	150.36	3	3,2	7.54	(Xe)4f66s2	1345	1	2064	1.17	166.4	8.63	0.00956	0.133	0.2	5.64	19.95	2.59	1.62	rhombohedral	basic	1879	white-gray	16777215	insoluble	insoluble	1860.0(291), 2230.0(195)		(+3); 8; 1.08							a 0.36290, b 0.36630, c' ?, d 0.3618	-	a 2.6207, b 0.58448, c' -, d 1.166	7.05	0.00000045		28.8	cry 0, gas 206.7		gas 172.8		cry 69.6, gas 183.0		cry 29.5, gas 30.4		12.7								1
Eu	63	Eu	Europium	151.964	3	3,2	5.26	(Xe)4f76s2	1090	1	1870	1.2	143.5	9.21	0.0112	0.139	0.18	5.67	28.9	2.56	1.85	cubic, body centered	basic	1901	steel gray	16777215	insoluble	insoluble	30900(298)		(+2); 8; 1.25	(+3); 8; 1.07						0.45827	-	-	2	0.00000013		27.7	cry 0, gas 175.3		gas 142.2		cry 77.8, gas 188.8		cry 27.7, gas 20.8		35								1
Gd	64	Gd	Gadolinium	157.25	3	3	7.89	(Xe)4f75d16s2	1585	1	3539	1.2	359.4	10.05	0.00736	0.106	0.23	6.15	19.9	2.54	1.61	hexagonal	basic	1880	gray	16777215	insoluble	insoluble	185000(350)		(+3); 8; 1.05							a 0.36336, b 0.406, c 0.361	-	a 0.57810, b -, c 2.603	6.2	0.0000007		23.5	cry 0, gas 397.5		gas 359.8		cry 68.1, gas 194.3		cry 37.0, gas 27.5		9								1
Tb	65	Tb	Terbium	158.92534	3	3,4	8.27	(Xe)4f96s2	1630	1	3496	1.2	330.9	10.8	0.00889	0.111	0.18	5.86	19.2	2.51	1.59	hexagonal	basic	1843	silver gray	16777215	insoluble	insoluble	170000(298)		(+3); 8; 1.18	(+4); 8; 0.88						a 0.36055, b (0.402), c 0.341, a' 0.3605	a -, b -, c -, a' 0.6244	a 0.56966, b -, c 2.45, a' 0.5706	1.2	0.00000014		25.5	cry 0, gas 388.7		gas 349.7		cry 73.2, gas 203.6		cry 28.9, gas 24.6		10.3								1
Dy	66	Dy	Dysprosium	162.5	3	3	8.54	(Xe)4f106s2	1682	1	2835	1.22	230	11.06	0.0108	0.107	0.17	5.94	19	2.49	1.59	hexagonal	basic	1886		16777215	insoluble	insoluble	98000(298)		(+3); 8; 1.03							a 0.35915, b (0.398), c 0.35592, a' 0.3595	a -, b -, c -, a' 0.6184	a 0.56501, b -, c 2.483, a' 0.5678	5.2	0.00000091		24.5	cry 0, gas 290.4		gas 254.4		cry 74.8, gas 196.6		cry 28.2, gas 20.8		9.9								1
Ho	67	Ho	Holmium	164.93032	3	3	8.8	(Xe)4f116s2	1743	1	2968	1.23	241	12.2	0.0124	0.162	0.16	6.018	18.7	2.47	1.58	hexagonal	basic	1878		16777215	insoluble	insoluble	72900(298)									a 0.35778, b 0.334	-	a 0.56178, b 2.45	1.3	0.00000022		23.6	cry 0, gas 300.8		gas 264.8		cry 75.3, gas 195.6		cry 27.2, gas 20.8		11.2								1
Er	68	Er	Erbium	167.26	3	3	9.05	(Xe)4f126s2	1795	1	3136	1.24	261	19.9	0.0117	0.143	0.17	6.101	18.4	2.45	1.57	hexagonal	basic	-	gray	16777215	insoluble	insoluble	48000(298)		(+3); 8; 1.00							0.35592	-	0.5585	3.5	0.00000087		22.7	cry 0, gas 317.1		gas 280.7		cry 73.2, gas 195.6		cry 28.1, gas 20.8		12.2								1
Tm	69	Tm	Thulium	168.93421	3	3,2	9.33	(Xe)4f136s2	1818	1	2220	1.25	191	16.84	0.015	0.168	0.16	6.184	18.1	2.42	1.56	hexagonal	basic	1879	gray	16777215	insoluble	insoluble	24700(298)		(+3); 7; 1.09							0.35375	-	0.5554	0.52	0.00000017		21.8	cry 0, gas 232.2		gas 197.5		cry 74.0, gas 190.1		cry 27.0, gas 20.8		13.3								1
Yb	70	Yb	Ytterbium	173.04	3	3,2	6.98	(Xe)4f146s2	1097	1	1467	1.1	128.9	7.66	0.0351	0.349	0.15	6.254	24.79	2.4	1.74	cubic, face centered	basic	1907		16777215	insoluble	-	67(290)		(+2); 8; 1.14	(+3); 8; 0.99						a 0.38799, b 0.54848, c 0.444	-	a 0.63859, b -, c -	3.2	0.00000082		21	cry 0, gas 152.3		gas 118.4		cry 59.9, gas 173.1		cry 26.7, gas 20.8		26.3								1
Lu	71	Lu	Lutetium	174.967	3	3	9.84	(Xe)4f145d16s2	1936	1	3668	1.27	355.9	18.6	0.0185	0.164	0.15	5.43	17.78	2.25	1.56	hexagonal	basic	1907		16777215	-	-	>0.0		(+3); 8; 0.98							0.35052	-	0.55494	0.8	0.00000015		21.9	cry 0, gas 427.6		gas 387.8		cry 51.0, gas 184.8		cry 26.9, gas 20.9		9.9								1
Hf	72	Hf	Hafnium	178.49	4	4	13.1	(Xe)4f145d26s2	2500	1	4876	1.3	575	24.06	0.0312	0.23	0.14	6.65	13.6	2.16	1.44	hexagonal	amphoteric	1923		16777215	insoluble	insoluble	(s) 75.0(298), (s) 104.0(1673)	~0	(+4); 8; 0.83							a 0.31946, b 0.3610	-	a 0.50510, b -	3	0.000007		16.2	cry 0, gas 619.2		gas 576.5		cry 43.6, gas 186.9		cry 25.7, gas 20.8		5.9								1
Ta	73	Ta 	Tantalum	180.9479	5	5	16.6	(Xe)4f145d36s2	3287	1	5731	1.5	743	31.6	0.0761	0.575	0.14	7.89	10.9	2.09	1.34	cubic, body centered	acidic	1802	gray black	16777215	insoluble	insoluble	154.0(293), 124.0(2143)	0.322	(+3); 6; 0.72	(+4); 6; 0.68	(+5); 6; 0.64					0.3303	-	-	2	0.000002		13.1	cry 0, gas 782.0		gas 739.3		cry 41.5, gas 185.2		cry 25.4, gas 20.9		6.3								1
W 	74	W 	Tungsten	183.84	6	6,5,4,3,2	19.3	(Xe)4f145d46s2	3680	1	5828	2.36	824	35.4	0.189	1.74	0.13	7.98	9.53	2.02	1.3	cubic, body centered	acidic	1779	gray black	16777215	insoluble	insoluble	59.0(298)	0.815	(+4); 6; 0.66	(+5); 6; 0.62	(+6); 4; 0.42	(+6); 6; 0.60				0.31652	-	-	1.25	0.0001		11.1	cry 0, gas 849.4		gas 807.1		cry 32.6, gas 174.0		cry 24.3, gas 21.3										17
Re 	75	Re 	Rhenium	186.207	7	7,6,4,2,-1	21	(Xe)4f145d56s2	3453	1	5869	1.9	715	33.2	0.0542	0.479	0.13	7.88	8.85	1.97	1.28	hexagonal	acidic	1925		16777215	insoluble	insoluble	67.6(293)	0.15	(+4); 6; 0.63	(+5); 6; 0.58	(+6); 6; 0.55	(+7); 4; 0.38	(+7); 6; 0.53			0.27609	-	0.4458	0.0007	0.000004		9.7	cry 0, gas 769.9		gas 724.6		cry 36.9, gas 188.9		cry 25.5, gas 20.8		6.2								50
Os	76	Os	Osmium	190.23	4	2,3,4,6,8	22.4	(Xe)4f145d66s2	3300	1	5285	2.2	746	31.8	0.109	0.876	0.13	8.7	8.49	1.92	1.26	hexagonal	acidic	1803	gray-blueish	16766907	insoluble	insoluble	9.9(298)	1.1	(+4); 6; 0.63	(+5); 6; 0.58	(+6); 6; 0.55	(+8); 6; 0.39				0.27341	-	0.4918	0.0015	0		8.5	cry 0, gas 791.0		gas 745.0		cry 32.6, gas 192.6		cry 24.7, gas 20.8		5.1								1
Ir	77	Ir	Iridium	192.217	4	2,3,4,6	22.5	(Xe)4f145d76s2	2716	1	4701	2.2	604	26.1	0.197	1.47	0.13	9.1	8.54	1.87	1.27	cubic, face centered	basic	1803	silver white	16777215	insoluble	insoluble	25.6(298), 32.1(698)	1.565	(+3); 6; 0.68	(+4); 6; 0.63	(+5); 6; 0.57					0.38392	-	-	0.001	0		7.6	cry 0, gas 665.3		gas 617.9		cry 35.5, gas 193.6		cry 25.1, gas 20.8		6.4								37
Pt	78	Pt	Platinum	195.078	4	2,4	21.4	(Xe)4f145d96s1	2045	1	4100	2.28	510	19.6	0.0966	0.716	0.13	9	9.1	1.83	1.3	cubic, face centered	basic	1735	silver	16777215	-	-	201.9(290.3)	2.128	(+2); 4square; 0.60	(+4); 6; 0.63						0.39236	-	-	0.005	0		6.5	cry 0, gas 565.3		gas 520.5		cry 41.6, gas 192.4		cry 25.9, gas 25.5		8.8								50
Au	79	Au	Gold	196.96655	3	3,1	19.3	(Xe)4f145d106s1	1337.58	1	3130	2.54	334.4	12.55	0.452	3.17	0.128	9.225	10.2	1.79	1.34	cubic, face centered	amphoteric	-	yellow, colloidal blue-violet	8445951	insoluble	insoluble	(s) -28.0(296), (l) -34.0	2.30863	(+1); 6; 1.37	(+3); 4square; 0.64	(+3); 6; 0.85					0.40782	-	-	0.004	0.000004		5.8, 6.48	cry 0, gas 366.1		gas 326.3		cry 47.4, gas 180.5		cry 25.4, gas 20.8		14.2								50
Hg	80	Hg	Mercury	200.59	2	2,1	13.53	(Xe)4f145d106s2	234.28	1	630	2	59.229	2.295	0.0104	0.0834	0.139	10.437	14.82	1.76	1.49	rhombohedral	basic	-	silver white	16777215	insoluble	insoluble	(s) -24.1, (l) -33.44(293), (g) -78.3	not stable	(+1); 6; 1.19	(+2); 2; 0.69	(+2); 6; 1.02					a 0.3005, b 0.3995, c -	-	a -, b 0.2825, c -	0.085	0.00003		5.7, 5.1	cry 0, gas 61.4		gas 31.8		cry 75.9, gas 175.0		cry 28.0, gas 20.8		29.9								5
Tl	81	Tl	Thallium	204.3833	1	3,1	11.85	(Xe)4f145d106s2p1	577	1	1746	2.04	164.1	4.142	0.0617	0.461	0.13	6.108	17.2	2.08	1.48	hexagonal	basic	1861	blue-white	16777088	insoluble	insoluble	-50.9, -32.3(>508), (l) -26.8(573)	0.2	(+1); 8; 1.59	(+1); 12; 1.70	(+3); 6; 0.89					a 0.34566, b 0.3879, c ?	-	a 0.55248, b -, c -	0.85	0.000019		7.6, 7.5	cry 0, gas 182.2		gas 147.4		cry 64.2, gas 181.0		cry 26.3, gas 20.8		28.9								1
Pb	82	Pb	Lead	207.2	2	4,2	11.4	(Xe)4f145d106s2p2	600.6	1	2023	2.33	177.7	4.799	0.0481	0.353	0.13	7.416	18.17	1.81	1.47	cubic, face centered	amphoteric	-	silver-blueish	16777215	insoluble	insoluble	(s) -23.0(289), (l) -15.5(330)	0.364	(+2); 6; 1.19	(+2); 10; 1.40	(+4); 4; 0.65	(+4); 6; 0.78				a 0.49502, b 0.3265	-	a -, b 0.5387	14	0.00003		6.8	cry 0, gas 195.2		gas 162.2		cry 64.8, gas 175.4		cry 26.4, gas 20.8		13.4								50
Bi	83	Bi	Bismuth	208.98038	3	3,5	9.8	(Xe)4f145d106s2p3	544.52	1	1837	2.02	104.8	11.3	0.00867	0.0787	0.12	7.289	21.3	1.63	1.46	rhombohedral	acidic	1753	silver-white or reddish	16777215	insoluble	insoluble	(s) -280.1, (l) -10.5	0.946	(+3); 6; 1.03	(+5); 6; 0.76						a 0.47460,b 0.6674 c 0.605, d -, e -, z 0.3800	a -,b 0.6117 c 0.42, d -, e -, z -	a -,b 0.3304 c 0.465, d -, e -, z -	0.0085	0.00002		7.4	cry 0, gas 207.1		gas 168.2		cry 56.7, gas 187.0		cry 25.5, gas 20.8										1
Po	84	Po	Polonium	209	4	4,2	9.4	(Xe)4f145d106s2p4	527	1	1235	2	-	-	0.0219	0.2	-	8.42	22.23	1.53	1.46	monoclinic	amphoteric	1898		16777215	slightly soluble	-		1.9								0.3366	0.3373	-	2E-10	1.5E-14		6.8	0									102 a	209, 208.9824, 102 a	210, 209.9828, 138.4 d					0
At	85	At	Astatine	210	-1	+/- 1,3,5,7	-	(Xe)4f145d106s2p5	575	1	610	2.2	-	-	-	0.017	-	-	-	1.43	1.45			1940		16777215				2.8											0	0		6	0									8.1 h	210, 209.9871, 8.1 h	211, 210.9875, 7.21 h					0
Rn	86	Rn	Radon	222	-	-	9.91	(Xe)4f145d106s2p6	202	1	211	-	16.4	2.89	-	0.0000364	0.09	10.748	50.5	1.34	-	cubic, face centered		1900		16777215	51.0(0), 22.4(25) cm3	13.0(60) cm3		not stable											4E-13	6E-16		5.3	0				176.2		20.8			3.823 d	211, 210.9906, 14.6 h	220, 220.0114, 55.6 s	222, 222.0176, 3.823 d				0
Fr	87	Fr	Francium	223	1	1	-	(Rn)7s1	300	1	950	0.7	-	-	0.03	0.15	-	-	-	-	-	cubic, body centered	basic	1939		16777215				0.46											0	0		48.7	0				95.4					22 min	223, 223.0197, 22.0 min						0
Ra	88	Ra	Radium	226.0254	2	2	5	(Rn)7s2	973	1	1809	0.9	-	-	-	0.186	-	5.279	45.2	-	-	cubic, body centered	basic	1898	silver white	16777215	decomposes, evolves H2	-			(+2); 8; 1.62	(+2); 12; 1.84						0.5148	-	-	0.0000009	8.9E-11		38.3	cry 0, gas 159.0		gas 130.0		cry 71.0, gas 176.5		gas 20.8			1599 a	223, 223.0185,11.43 d	224, 224.0202, 3.66 d	226, 226.0254, 1599 a	228, 228.0311, 5.75 a			0
Ac	89	Ac	Actinium	227.0278	3	3	10.07	(Rn)6d17s2	1323	1	3473	1.1	-	-	-	0.12	-	5.17	22.54	-	-	cubic, face centered		1902	silver white	16777215	decomposes to Ac(OH)3	-										0.5311	-	-	5.5E-10	0		32.1	cry 0, gas 406.0		gas 366.0		cry 56.5, gas 188.1		cry 27.2, gas 20.8			21.77 a	227, 227.0277, 21.77 a						0
Th	90	Th	Thorium	232.0381	4	4	11.7	(Rn)6d27s2	2028	1	5061	1.3	514.4	16.1	0.0653	0.54	0.12	6.08	19.9	-	1.65	cubic, face centered	basic	1828	gray	16777215	insoluble	insoluble	132.0(2939, 153.0(90)		(+4); 8; 1.05							0.50842	0.411	-	9.6	0.000001		32.1	cry 0, gas 602.0		gas 560.7		cry 51.8, gas 190.2		cry 27.3, gas 20.8		11	1.40E10 a	230, 230.0331, 7.54E4 a	232, 232.038, 1.40E10 a					0
Pa	91	Pa	Protactinium	231.03588	5	5,4	15.4	(Rn)5f26d17s2	-	1	-	1.5	-	12.3	0.0529	0.47	-	5.89	15	-	-	orthorhombic	basic	1913	gray	16777215	-	-										a 0.3921, b 0.381	-	a 0.3235, b -	0.0000014	5E-11		25.4	cry 0, gas 607.0		gas 563.0		cry 51.9, gas 198.1		gas 22.9			3.25E4 a	231, 231.0359, 3.25E4 a 						0
U	92	U	Uranium	238.0289	6	6,5,4,3	18.9	(Rn)5f36d17s2	1405	1	4407	1.38	447	8.52	0.038	0.276	0.12	6.05	12.59	-	1.42	orthorhombic	amphoteric	1789	silvery	16777215	insoluble	insoluble	395.0(78), 409.0(298), 440.0(623), 514.0(1393)		(+3); 6; 1.03	(+4); 6; 0.89	(+5); 6; 0.76	(+6); 2; 0.45	(+6); 7; 0.81			a 0.28537, b 1.0759, c 0.3524	a 0.58695, b -, c -	a 0.49548, b 0.5656, c -	2.7	0.0032		27.4	cry 0, gas 533.0		gas 488.4		cry 50.2, gas 199.8		cry 27.7, gas 23.7		13.9	4.47E9 a	233, 233.0396, 1.592E5 a	234, 234.0409, 2.455E5 a	235, 235.0439, 7.04E8 a	236, 236.0456, 2.342E7 a	238, 238.0508, 4.47E9 a		0
Np	93	Np	Neptunium	237.0482	5	6,5,4,3	20.4	(Rn)5f46d17s2	910	1	-	1.36	-	5.19	0.00822	0.063	0.12	6.19	11.62	-	-	orthorhombic	amphoteric	1940	silvery	16777215	-	-										a 0.6663, b 0.4883, c 0.352	a 0.4723, b -, c -	a 0.4887, b 0.3389, c -	0	0		24.8										2.14E6 a	237, 237.0482, 2.14E6 a	239, 239.0529, 2.355 d					0
Pu	94	Pu	Plutonium	244	4	6,5,4,3	19.8	(Rn)5f67s2	913	1	3503	1.28	344	2.84	0.00666	0.0674	0.13	6.06	12.32	-	-	monoclinic	amphoteric	1940	silver white	16777215	-	-	610.0(293)									a 0.6183,b 0.9284 c 0.31587, d 0.46371, d' 0.33261, e 0.36343	a 0.4822,b 1.0463 c 0.57682, d -, d' -, e -	a 1.0963,b 0.7859 c 1.0162, d -, d' 0.44630, e -	0	0		24.5	0								46.7	8.00E7 a	238, 238.0496, 87.7 a	239, 239.0522, 2.41E4 a	240, 240.0538, 6.56E3 a	241, 241.0568, 14.4 a	242, 242.0587, 3.75E5 a	244, 244.0642, 8.00E7 a	0
Am	95	Am	Americium	243	3	6,5,4,3	13.6	(Rn)5f77s2	1268	1	2880	1.3	-	14.4	0.022	0.1	0.11	5.993	17.86	-	-	hexagonal	amphoteric	1944	silvery	16777215	-	-	1000.0(300)									a 0.4894,a' 0.34681, b ?, c 0.3063	a -,a' -, b -, c 0.5968	a -, a' 1.1241, b -, c 0.5169	0	0		23.3	0									7.37E3 a	241, 241.0568, 432.7 a	243, 243.0614, 7.37E3 a					0
Cm	96	Cm	Curium	247	3	3	13.511	(Rn)5f76d17s2	1340	1	-	1.3	-	15	-	0.1	-	6.02	18.28	-	-		amphoteric	1944		16777215												a 0.3496, b 0.4382	-	a 1.1331, b -	0	0		23	0									1.56E7 a	243, 243.0614, 29.1 a	244, 244.0627, 18.1 a	245, 245.0655, 8.48E3 a	246, 246.0672, 4.76E3 a	247, 247.0703, 1.56E7 a	248, 248.0723, 3.48E5 a	0
Bk	97	Bk	Berkelium	247	3	4,3	-	(Rn)5f97s2	-	1	-	1.3	-	-	-	0.1	-	6.23	-	-	-			1949		16777215												a 0.3416, b 0.4997	-	a 1.1069, b -	0	0		22.7	0									1.4E3 a	247, 247.0703, 1.4E3 a	249, 249.075, 3.20E2 d					0
Cf	98	Cf	Californium	251	3	3	-	(Rn)5f107s2	900	1	-	1.3	-	-	-	0.1	-	6.3	-	-	-			1950		16777215												a 0.339, b ?	-	a 1.1015, b -	0	0		20.5	0									900 a	249, 249.0748, 351 a	250, 250.0764, 13.1 a	251, 251.0796, 900 a	252, 252.0816, 2.64 a			0
Es	99	Es	Einsteinium	252	-	-	-	(Rn)5f117s2	-	1	-	1.3	-	-	-	0.1	-	6.42	-	-	-			1952		16777215												a ?, b ?	-	-	0	0		19.7	0									472 d	252, 252.083, 472 d						0
Fm	100	Fm	Fermium	257	-	-	-	(Rn)5f127s2	-	1	-	1.3	-	-	-	0.1	-	6.5	-	-	-			1952		16777215															0	0		23.8	0									100.5 d	257, 257.0951, 100.5 d						0
Md	101	Md	Mendelevium	258	-	-	-	(Rn)5f137s2	-	1	-	1.3	-	-	-	0.1	-	6.58	-	-	-			1955		16777215															0	0		18.2	0									51.5 d	256, 256.0941, 78 min	258, 258.0984, 51.5 d					0
No	102	No	Nobelium	259	-	-	-	(Rn)5f147s2	-	1	-	1.3	-	-	-	0.1	-	6.65	-	-	-			1958		16777215															0	0		17.5	0									58 min	259, 259.1011, 58 min						0
Lr	103	Lr	Lawrencium	260	-	-	-	(Rn)5f146d17s2	-	1	-	-	-	-	-	0.1	-	-	-	-	-			1961		16777215															0	0												3.6 h	262, 262.11, 3.6 h						0
Unq	104	Unq	(Unnilquadium)	261	-	-	-	(Rn)5f146d27s2	-	1	-	-	-	-	-	0.23		-	-	-	-			1964		16777215															0	0												1.1 min	261, 261.1089, 1.1 min						0
Unp	105	Unp	(Unnilpentium)	262	-	-	-	(Rn)5f146d37s2	-	1	-	-	-	-	-	0.58	-	-	-	-	-			1967		16777215															0	0																			0
Unh	106	Unh	(Unnilhexium)	263	-	-	-	(Rn)5f146d47s2	-	1	-	-	-	-	-	-	-	-	-	-	-			1974		16777215															0	0																			0
D	1	D	Deuterium	2.01410177811																																																									
T	1	T	Tritium	3.01604928																																																									
